snapshot,bids_price,asks_price,timestamps,simple_mid_price,mid_price,spread,imbalance
236,76786.94,76786.95,18:24:47,76786.945,76786.94060625813,0.00999999999476131,-0.6869098077891018
237,76785.63,76785.64,18:24:52,76785.63500000001,76785.63149341682,0.00999999999476131,-0.48002548072361784
238,76785.63,76785.64,18:24:57,76785.63500000001,76785.6334863485,0.00999999999476131,-0.3944721575253161
239,76785.63,76785.64,18:25:02,76785.63500000001,76785.63982542763,0.00999999999476131,0.09182568947981185
240,76800.66,76800.67,18:25:08,76800.66500000001,76800.66425958692,0.00999999999476131,0.10447914732611051
241,76800.66,76800.67,18:25:12,76800.66500000001,76800.66534590238,0.00999999999476131,0.16464360328981997
242,76800.66,76800.67,18:25:17,76800.66500000001,76800.66865024509,0.00999999999476131,0.20501213545992297
243,76800.66,76800.67,18:25:23,76800.66500000001,76800.66996331407,0.00999999999476131,0.283870590773186
244,76805.17,76805.18,18:25:27,76805.17499999999,76805.17867612989,0.00999999999476131,0.1282338643609338
245,76807.53,76807.54,18:25:32,76807.535,76807.53885973393,0.00999999999476131,0.40378265145523623
246,76807.53,76807.54,18:25:38,76807.535,76807.53959702904,0.00999999999476131,0.37232703412014373
247,76810.13,76810.14,18:25:42,76810.13500000001,76810.13643272678,0.00999999999476131,0.2864926257738393
248,76810.13,76810.14,18:25:47,76810.13500000001,76810.13702947683,0.00999999999476131,0.41720062843770783
249,76810.13,76810.14,18:25:53,76810.13500000001,76810.13703506038,0.00999999999476131,0.3896524729001813
250,76810.13,76810.14,18:25:57,76810.13500000001,76810.13839245228,0.00999999999476131,0.4030131575336727
251,76810.13,76810.14,18:26:03,76810.13500000001,76810.13835664753,0.00999999999476131,0.38599728902972913
252,76810.13,76810.14,18:26:08,76810.13500000001,76810.13964737483,0.00999999999476131,0.42719014516673076
253,76810.13,76810.14,18:26:12,76810.13500000001,76810.13941362678,0.00999999999476131,0.4216903453988283
254,76810.13,76810.14,18:26:18,76810.13500000001,76810.13851786393,0.00999999999476131,0.388013921607182
255,76810.13,76810.14,18:26:23,76810.13500000001,76810.13848172013,0.00999999999476131,0.3693791330602993
256,76810.13,76810.14,18:26:27,76810.13500000001,76810.13944248614,0.00999999999476131,0.49127702786922506
257,76810.13,76810.14,18:26:33,76810.13500000001,76810.13833278428,0.00999999999476131,0.3954695415706141
258,76810.13,76810.14,18:26:38,76810.13500000001,76810.1382996916,0.00999999999476131,0.4027736330983197
259,76810.13,76810.14,18:26:43,76810.13500000001,76810.13849213214,0.00999999999476131,0.43574742145909034
260,76810.13,76810.14,18:26:48,76810.13500000001,76810.13775662871,0.00999999999476131,0.40473785463705364
261,76810.13,76810.14,18:26:53,76810.13500000001,76810.1369976295,0.00999999999476131,0.3322875053726817
262,76810.13,76810.14,18:26:58,76810.13500000001,76810.13202794979,0.00999999999476131,-0.2499176228053871
263,76810.13,76810.14,18:27:03,76810.13500000001,76810.13325218308,0.00999999999476131,-0.22842156295406826
264,76810.13,76810.14,18:27:08,76810.13500000001,76810.13326139827,0.00999999999476131,-0.2198893642871658
