snapshot,timestamp,mid_price,spread,imbalance
3654,2026-05-21 19:17:55,77370.61631686357,0.00999999999476131,-0.2724237244922048
3655,2026-05-21 19:18:00,77370.61612715421,0.00999999999476131,-0.23621017074657163
3656,2026-05-21 19:18:05,77354.36987574576,0.00999999999476131,-0.9709490385695932
3657,2026-05-21 19:18:11,77348.0099225782,0.00999999999476131,-0.9845579704761198
3658,2026-05-21 19:18:15,77343.74798116887,0.00999999999476131,-0.5816337857611381
3659,2026-05-21 19:18:20,77341.96700373433,0.00999999999476131,-0.424147538087278
3660,2026-05-21 19:18:25,77340.0099965659,0.00999999999476131,-0.9984639235375272
3661,2026-05-21 19:18:31,77340.00958594143,0.00999999999476131,-0.9170899657738903
3662,2026-05-21 19:18:35,77340.00922912358,0.00999999999476131,-0.8234627613503817
3663,2026-05-21 19:18:40,77336.00999213151,0.00999999999476131,-0.997430041566962
3664,2026-05-21 19:18:45,77334.03737400824,0.00999999999476131,-0.4803293605877001
3665,2026-05-21 19:18:50,77324.24956843928,0.00999999999476131,-0.9355168393160774
3666,2026-05-21 19:18:56,77324.24958615324,0.00999999999476131,-0.9209393019562606
3667,2026-05-21 19:19:00,77318.57437030888,0.00999999999476131,0.08554634414331803
3668,2026-05-21 19:19:06,77318.57727351977,0.00999999999476131,-0.47470768171405114
3669,2026-05-21 19:19:10,77328.00625926009,0.00999999999476131,-0.2569227446977765
3670,2026-05-21 19:19:15,77338.45051484105,0.010000000009313226,0.8989153138268613
3671,2026-05-21 19:19:21,77341.9616759458,0.00999999999476131,0.6746284638343878
3672,2026-05-21 19:19:26,77341.9678254689,0.00999999999476131,-0.5273288432129924
3673,2026-05-21 19:19:30,77330.48818300616,0.010000000009313226,-0.7093624925684343
3674,2026-05-21 19:19:35,77330.48389861893,0.010000000009313226,0.18779010230741994
3675,2026-05-21 19:19:41,77330.48040397791,0.010000000009313226,0.9182362025006905
3676,2026-05-21 19:19:45,77330.48524843779,0.010000000009313226,-0.07052477693199569
3677,2026-05-21 19:19:50,77330.48921562526,0.010000000009313226,-0.8422620637719211
3678,2026-05-21 19:19:55,77327.28739708688,0.00999999999476131,-0.48122054681250126
3679,2026-05-21 19:20:01,77327.2880447136,0.00999999999476131,-0.6196570086796094
3680,2026-05-21 19:20:05,77318.35994148099,0.00999999999476131,-0.9867831042735589
3681,2026-05-21 19:20:11,77318.35995342258,0.00999999999476131,-0.9677610487749027
3682,2026-05-21 19:20:15,77317.79759937643,0.010000000009313226,-0.5684279856961078
3683,2026-05-21 19:20:21,77317.4493495566,0.00999999999476131,-0.8917165651480772
3684,2026-05-21 19:20:26,77327.4014438073,0.010000000009313226,0.7129305845657303
3685,2026-05-21 19:20:31,77327.40887824367,0.010000000009313226,-0.7766419036783428
3686,2026-05-21 19:20:35,77323.86963435354,0.00999999999476131,-0.934492345266999
3687,2026-05-21 19:20:40,77318.22326061237,0.00999999999476131,0.3431348022707591
3688,2026-05-21 19:20:46,77318.22112019804,0.00999999999476131,0.7723284421786026
3689,2026-05-21 19:20:51,77318.22175925903,0.00999999999476131,0.6465319580938474
3690,2026-05-21 19:20:56,77318.22151770732,0.00999999999476131,0.6555065907916947
3691,2026-05-21 19:21:01,77318.22603466564,0.00999999999476131,-0.20583001659087594
3692,2026-05-21 19:21:06,77318.22542473782,0.00999999999476131,-0.0841931262483642
3693,2026-05-21 19:21:10,77315.20617301567,0.010000000009313226,-0.24367417579057693
3694,2026-05-21 19:21:16,77315.20808143598,0.010000000009313226,-0.6192142213061961
3695,2026-05-21 19:21:21,77364.96683384311,0.00999999999476131,-0.30697754278586603
3696,2026-05-21 19:21:26,77346.64906982811,0.00999999999476131,-0.8319533640819982
3697,2026-05-21 19:21:31,77346.64078164297,0.00999999999476131,0.839995954618171
3698,2026-05-21 19:21:36,77364.96055902189,0.00999999999476131,0.903943832724452
3699,2026-05-21 19:21:41,77361.44954564852,0.00999999999476131,-0.9095149529918096
3700,2026-05-21 19:21:46,77350.00966301649,0.00999999999476131,-0.9324816491728606
3701,2026-05-21 19:21:51,77344.01999846064,0.010000000009313226,-0.9972908409069676
3702,2026-05-21 19:21:56,77344.01907992014,0.010000000009313226,-0.813830635969911
3703,2026-05-21 19:22:01,77344.01565026084,0.010000000009313226,-0.16286688211076186
3704,2026-05-21 19:22:06,77344.01348394075,0.010000000009313226,0.21972355492899392
3705,2026-05-21 19:22:11,77338.44999474491,0.00999999999476131,-0.995389019987976
3706,2026-05-21 19:22:16,77338.44320590569,0.00999999999476131,0.3183659962212894
3707,2026-05-21 19:22:21,77331.96957326014,0.00999999999476131,-0.9144345015413162
3708,2026-05-21 19:22:26,77327.28955476766,0.00999999999476131,-0.9079893516843459
3709,2026-05-21 19:22:31,77316.00965559542,0.00999999999476131,-0.92407132243685
3710,2026-05-21 19:22:36,77314.44998656758,0.00999999999476131,-0.9947097316724877
3711,2026-05-21 19:22:41,77309.37811750229,0.010000000009313226,-0.6256470917026026
3712,2026-05-21 19:22:46,77308.92958833926,0.00999999999476131,-0.8959707103140419
3713,2026-05-21 19:22:51,77303.853083628,0.00999999999476131,0.3818256581610021
3714,2026-05-21 19:22:56,77303.85255625405,0.00999999999476131,0.4873831128444827
3715,2026-05-21 19:23:01,77323.67147404475,0.00999999999476131,0.7058482617191852
3716,2026-05-21 19:23:06,77322.54999740935,0.010000000009313226,-0.9991141279113818
3717,2026-05-21 19:23:11,77315.06353416064,0.010000000009313226,0.27703922816310383
3718,2026-05-21 19:23:16,77330.44237495842,0.00999999999476131,0.5359389612923627
3719,2026-05-21 19:23:21,77330.44675964852,0.00999999999476131,-0.32900446172177916
3720,2026-05-21 19:23:26,77330.42986214209,0.00999999999476131,-0.9816334619378987
3721,2026-05-21 19:23:31,77327.28913661126,0.00999999999476131,-0.8102568738303372
3722,2026-05-21 19:23:36,77327.28936561443,0.00999999999476131,-0.8539115278923981
3723,2026-05-21 19:23:41,77327.28958402692,0.00999999999476131,-0.9057289153242954
3724,2026-05-21 19:23:46,77278.00828612044,0.00999999999476131,-0.6665297378475673
3725,2026-05-21 19:23:51,77278.00421797093,0.00999999999476131,0.14438404925681853
3726,2026-05-21 19:23:56,77278.00450274788,0.00999999999476131,0.07047531507963169
3727,2026-05-21 19:24:01,77278.0093951442,0.00999999999476131,-0.8809799568477517
3728,2026-05-21 19:24:06,77278.00257988408,0.00999999999476131,0.4874698242386869
3729,2026-05-21 19:24:11,77278.00145214725,0.00999999999476131,0.6879907635207427
3730,2026-05-21 19:24:16,77278.00382877262,0.00999999999476131,0.2208460077643144
3731,2026-05-21 19:24:21,77278.00322278975,0.00999999999476131,0.34337842869554425
3732,2026-05-21 19:24:26,77285.54196207388,0.010000000009313226,0.6096699830949023
3733,2026-05-21 19:24:31,77292.00051731951,0.00999999999476131,0.8938081233606232
3734,2026-05-21 19:24:36,77299.20000242886,0.010000000009313226,0.9987147170241248
3735,2026-05-21 19:24:41,77299.2303495367,0.010000000009313226,0.945921677636347
3736,2026-05-21 19:24:46,77299.23028555719,0.010000000009313226,0.9480941652043458
3737,2026-05-21 19:24:51,77299.23891966927,0.010000000009313226,-0.7811438081825995
3738,2026-05-21 19:24:56,77299.23883069107,0.010000000009313226,-0.7617417353161442
3739,2026-05-21 19:25:01,77299.23613326585,0.010000000009313226,-0.22546001904586363
3740,2026-05-21 19:25:06,77299.23511633571,0.010000000009313226,-0.02262687045868472
3741,2026-05-21 19:25:11,77299.24410257027,0.00999999999476131,0.21766674772392494
3742,2026-05-21 19:25:16,77299.24169324308,0.00999999999476131,0.6783495337694431
3743,2026-05-21 19:25:21,77299.24763717635,0.00999999999476131,-0.39817324050724534
3744,2026-05-21 19:25:26,77299.24801187663,0.00999999999476131,-0.45732408547960895
3745,2026-05-21 19:25:31,77296.00949430717,0.00999999999476131,-0.9202049243341618
3746,2026-05-21 19:25:36,77296.00705150235,0.00999999999476131,-0.513401664186918
3747,2026-05-21 19:25:41,77297.50021174134,0.00999999999476131,0.954581348677427
3748,2026-05-21 19:25:46,77297.50061561064,0.00999999999476131,0.8294729344272288
3749,2026-05-21 19:25:51,77297.50586538445,0.00999999999476131,-0.17282072295166664
3750,2026-05-21 19:25:56,77297.50512327654,0.00999999999476131,-0.0247672122929488
3751,2026-05-21 19:26:01,77297.50488294612,0.00999999999476131,0.023127142074048358
3752,2026-05-21 19:26:06,77297.50489475553,0.00999999999476131,0.020806463998094372
3753,2026-05-21 19:26:11,77297.50494888381,0.00999999999476131,0.010382672006055058
3754,2026-05-21 19:26:16,77297.50362945853,0.00999999999476131,0.2753768919638904
3755,2026-05-21 19:26:21,77297.50109627303,0.00999999999476131,0.7780166492963948
3756,2026-05-21 19:26:26,77297.50076881681,0.00999999999476131,0.8461072338563244
3757,2026-05-21 19:26:31,77297.50083338961,0.00999999999476131,0.8326772215672434
3758,2026-05-21 19:26:36,77297.50074590379,0.00999999999476131,0.8501169333837152
3759,2026-05-21 19:26:41,77297.5084024748,0.00999999999476131,-0.679889289734879
3760,2026-05-21 19:26:46,77295.16998994652,0.00999999999476131,-0.9963188163759745
3761,2026-05-21 19:26:51,77285.56884203642,0.010000000009313226,-0.7848732763826208
3762,2026-05-21 19:26:57,77282.94923872477,0.00999999999476131,-0.8457398572257279
3763,2026-05-21 19:27:01,77282.94201764524,0.00999999999476131,0.7136276902675807
3764,2026-05-21 19:27:06,77282.94381952536,0.00999999999476131,0.4271622539362968
3765,2026-05-21 19:27:11,77282.94159570934,0.00999999999476131,0.7441373184402498
3766,2026-05-21 19:27:16,77295.16054906823,0.00999999999476131,0.8973014767846084
3767,2026-05-21 19:27:22,77295.16005849883,0.00999999999476131,0.9880214088358577
3768,2026-05-21 19:27:26,77300.41240445487,0.00999999999476131,0.5195903891117505
3769,2026-05-21 19:27:31,77300.41236146858,0.00999999999476131,0.5286177874351213
3770,2026-05-21 19:27:36,77300.41236814971,0.00999999999476131,0.5287790777471317
3771,2026-05-21 19:27:42,77308.56627208542,0.010000000009313226,-0.2520134742478597
3772,2026-05-21 19:27:46,77308.56500783059,0.010000000009313226,-0.0005683637240054228
3773,2026-05-21 19:27:51,77308.56574365983,0.010000000009313226,-0.14680928339911628
3774,2026-05-21 19:27:56,77308.56197949639,0.010000000009313226,0.6044538337652506
3775,2026-05-21 19:28:02,77313.99098019784,0.00999999999476131,0.8085290737275722
3776,2026-05-21 19:28:06,77329.35211892508,0.00999999999476131,0.5734764452397005
3777,2026-05-21 19:28:11,77329.35216773808,0.00999999999476131,0.5603349987032624
3778,2026-05-21 19:28:16,77329.35148280358,0.00999999999476131,0.7061176722266614
3779,2026-05-21 19:28:21,77329.35146125461,0.00999999999476131,0.710686988435168
3780,2026-05-21 19:28:27,77329.35093576738,0.00999999999476131,0.8147419549466873
3781,2026-05-21 19:28:31,77329.35101489002,0.00999999999476131,0.7990223731488865
3782,2026-05-21 19:28:37,77329.35154204632,0.00999999999476131,0.6945491992198283
3783,2026-05-21 19:28:41,77329.35092340237,0.00999999999476131,0.8200273673279536
3784,2026-05-21 19:28:46,77329.35029461373,0.00999999999476131,0.9395532267189732
3785,2026-05-21 19:28:52,77329.3502047365,0.00999999999476131,0.9581085197847206
3786,2026-05-21 19:28:56,77338.29009828914,0.010000000009313226,0.9767642798179431
